condition,strategy,avg_questions
ambiguous,eig-tests,0.8
ambiguous,one-shot,0.0
ambiguous,random-tests,2.5
incomplete,eig-tests,0.5
incomplete,one-shot,0.0
incomplete,random-tests,1.8
original,eig-tests,0.3
original,one-shot,0.0
original,random-tests,1.5
