condition,strategy,k,n,pass_at_1
ambiguous,eig-tests,2,1,0.0
ambiguous,random-tests,2,1,0.0
incomplete,eig-tests,2,1,1.0
incomplete,random-tests,2,1,0.0
original,eig-tests,0,1,0.0
original,random-tests,0,1,0.0
