dataset,profile,strategy,n,pass_at_1,ci95_low,ci95_high,avg_questions,avg_total_tokens,pass_per_1k_tokens,delta_pass_vs_oneshot,pareto_efficient
mbpp,modal_qwen_cheap_groq_tests,one-shot,1,0.0,0.0,0.0,0.0,359.0,0.0,0.0,True
mbpp,modal_qwen_cheap_groq_tests,random-tests,1,0.0,0.0,0.0,1.0,4135.0,0.0,0.0,False
